"房子名称","房子价格","房子单价","房子类型","房子地址","房子大小"
"华宇北城中央  精装公寓  视野好  随时看房","60","12000元/㎡","1室1厅1卫","华宇北城中央...-龙头寺二手房出售-泰山大道","50㎡"
"南坪南山品质别墅，带露台车位 环境好业主安心卖 总价249万","249","15465元/㎡","4室2厅3卫","山与城-黄桷桠二手房出售-福寿路2号","161㎡"
"郑家院子轻轨旁邮政绿苑 精装三房 出行购物方便拎包入住","177.8","16163元/㎡","3室2厅2卫","邮政绿苑-新溉路二手房出售-红叶路6号","110㎡"
"南坪万达 3号线 浪高亮阁 经典单配 仅售55万 首付17万","55","12122元/㎡","1室1卫","亮阁-南坪二手房出售-江南大道","45㎡"
"渝北民安大道公交车站旁 精装两房可改三房 户型方正业主诚心出","96","11162元/㎡","2室2厅2卫","睿尚MOHO-人和二手房出售-民安大道111号","86㎡"
"南坪一米阳光,精装正规1房 送家电 业主急售73万","75","17441元/㎡","1室1厅1卫","一米阳光-经开区二手房出售-双峰山路15号","43㎡"
"业主亏本卖 东方明珠正看江标准三室 已满两年过户费","60","7017元/㎡","3室2厅1卫","贵博东方明珠-其他二手房出售-涪清路","85㎡"
"解放碑临江门轻轨房 正规大俩房 精装修 业主安心出售户型方正","168","16000元/㎡","2室2厅1卫","华庭嘉园-解放碑二手房出售-嘉陵江滨江路131号","105㎡"
"南坪商圈 上海城西门对面 智汇江南86平米2房 仅售107万","107","12382元/㎡","2室2厅1卫","智汇江南-南坪二手房出售-海铜路,近南坪西路","86㎡"
"金三角附近精装修三室，家具家电齐全","48.5","3911元/㎡","3室2厅1卫","三一厂家属院-沙坪坝周边二手房出售-璧永路4号","124㎡"
"一天门农贸市场附近，住家装修，出行方便","33.8","3797元/㎡","3室2厅1卫","帝景花园-璧青北路636号","89㎡"
"缙云风景 标准两房 带入户苑馆 朝中庭 只要78万","78","9069元/㎡","2室2厅1卫","缙云峰景-城南新区二手房出售-双柏路99号","86㎡"
"金剑小学对面精装修大三室，中心地段","38.8","4084元/㎡","3室2厅1卫","金桂苑-金剑路219号","95㎡"
"轻轨附近瀚恩尚都大降价，只卖三天，拎包入住","80","6212元/㎡","3室2厅2卫","瀚恩尚都-兴旺正街14号","128㎡"
"入户大厅宽敞明亮品质小区绿化好四室两厅配套齐全精装修安逸得很","95","7307元/㎡","4室2厅2卫","中瓯璧河名都-沙坪坝周边二手房出售-永嘉大道101号","130㎡"
"现房出售产权清晰家具家电齐全拎包入住，恒大绿岛国际新城。","71.8","10257元/㎡","2室2厅1卫","恒大绿岛新城...-东林大道67号","70㎡"
"金科花园洋房品质楼盘高端住宅小区业主急售秀湖公园商圈","132","10560元/㎡","3室2厅2卫","璧山金科中央...-泉山路,近黛山大道","125㎡"
"3000左右的价格正宗4室直接入住家具家电齐全设计院家属院","58.8","3458元/㎡","4室2厅2卫","璧山建筑勘察...-文风路218号","170㎡"
"人和医院旁 精装大三房 拎包入住  业主诚售 随时看房","188","14461元/㎡","3室2厅2卫","富悦果岭-人和二手房出售-龙寿路669号","130㎡"
"来，别墅新房源，310万买联排，双车库大花园视野开阔景观好","310","12252元/㎡","4室2厅3卫","绿地翠谷后洛...-汽博中心二手房出售-绿云街9号","253㎡"
"龙湖源著北区清水四房 户型方正 品质小区","315","18277元/㎡","4室2厅2卫","龙湖源著北区-南桥寺二手房出售-盘溪路420号","172㎡"
"佳兴诚推锦天水岸豪华家装正三房可改四房随时看房拎包入住随时看","71.8","6527元/㎡","3室2厅1卫","锦天水岸-其他二手房出售-金龙大道21号","110㎡"
"佳兴诚推爱尚里豪华装修正三房四面朝中庭绝 对豪华价格可谈","88","8979元/㎡","3室2厅1卫","美丽泽京爱尚...-金龙大道","98㎡"
"融侨花满庭正规三房双卫户型看江看湖视野很好","208","18245元/㎡","3室2厅2卫","融侨城花漫庭-铜元局二手房出售-风临路5号","114㎡"
"轻轨房中铁集团香的溪岸三房带书房精装修拎包入住","89.8","9354元/㎡","3室2厅2卫","香漫溪岸-璧青路148号","96㎡"
"三室一厅117平50多万，璧山润丰领尚新盘住宅，小区绿化七成","55","4700元/㎡","3室2厅2卫","润丰领尚-沙坪坝周边二手房出售-白云大道2号","117㎡"
"蓝光coco时代 三室两厅 精装全配 随时看房 价位面议","139","17160元/㎡","3室2厅1卫","蓝光COCO...-弹子石二手房出售-腾龙大道38号","81㎡"
"轻轨房六旗乐园旁东福宏州正宗家装两房精装带北街小学读书指标","68.8","9173元/㎡","2室2厅1卫","吉旺东福宏洲...-景山路106号","75㎡"
"高层的价格买洋房 机会难得哟 住家装修 双轻轨 中央公园旁","165","16019元/㎡","3室2厅2卫","汇祥林里30...-空港新城二手房出售-同盛路88号","103㎡"
"渝北人和 轻轨站旁 金科小城故事 精装大单配","68","21518元/㎡","1室1卫","金科小城故事-人和二手房出售-胡杨路2号","31㎡"
"南坪智汇江南 86平米只卖109万，2房可改3房，临轻轨，","109","12674元/㎡","2室2厅1卫","智汇江南-南坪二手房出售-海铜路,近南坪西路","86㎡"
"嘉州轻轨站旁 都市坐标 全新精装小三房 户型采光好 拎包入住","115.8","16083元/㎡","3室2厅1卫","都市坐标-加洲新牌坊二手房出售-新牌坊三路18号","72㎡"
"超划算宏博楿滨城  精装三房 赠送30平 不要错过","65.8","6092元/㎡","3室2厅2卫","宏博楿滨城-中龙路","108㎡"
"佳兴诚推爱尚里豪华装修正三房四面朝中庭绝 对豪华价格可谈","88","8979元/㎡","3室2厅1卫","美丽泽京爱尚...-金龙大道","98㎡"
"融侨花满庭正规三房双卫户型看江看湖视野很好","208","18245元/㎡","3室2厅2卫","融侨城花漫庭-铜元局二手房出售-风临路5号","114㎡"
"独栋豪宅 保利国际高尔夫白云山庄大独栋 一线高尔夫景观大花园","1300","29478元/㎡","5室3厅5卫","保利国际高尔...-鸳鸯二手房出售-留云路1号","441㎡"
"融科橡树澜湾，清水联排别墅，花园200平，带车库车位","470","17735元/㎡","4室2厅4卫","融科橡树澜湾-鸳鸯二手房出售-湖津路18号","265㎡"
"渝北汽博中心 复地天玺 一线高尔夫景观 清水大4房 户型好","220","14666元/㎡","4室2厅2卫","复地天玺-鸳鸯二手房出售-金渝大道，近金开大道","150㎡"
"渝北  融科金湖湾  清水套四  鸳鸯轻轨附近  成熟片区","220","17322元/㎡","4室2厅2卫","融科金湖湾-鸳鸯二手房出售-湖津路121号","127㎡"
"攀华未来城  简装 68平方 2室2厅  首付17万","38","5588元/㎡","2室1厅1卫","攀华未来城-李渡二手房出售-聚龙大道76号","68㎡"
"新上南坪恒基翔龙江畔精装大两房装修花了20万","135","16463元/㎡","2室2厅1卫","恒基翔龙江畔-南滨路二手房出售-南滨西路28号","82㎡"
"江北嘴后花园 庆业巴蜀城 住家装修三房两卫 轻轨6号线","198","16638元/㎡","3室2厅2卫","庆业巴蜀城-五里店二手房出售-海尔路6号","119㎡"
"渝北回兴 香山美筑 简单装修一室一厅 业主诚心出售","52","11818元/㎡","1室1厅1卫","香山美筑-回兴二手房出售-兴科四路66号","44㎡"
"海兰云天，度假洋房，风景优美，上佳视角。","72","5714元/㎡","3室2厅2卫","海兰云天拾光...-走马二手房出售-海含路","126㎡"
"大学城恒大未来城 精装单间配套 住家方便 带树人指标","40","10526元/㎡","1室1厅1卫","旭阳台北城-大学城二手房出售-大学城中路3号","38㎡"
"南坪三号线 会展旁 亚太商谷 装修2房 59平售95万","95","16101元/㎡","2室1厅1卫","亚太商谷-南坪二手房出售-亚太路1号","59㎡"
"天星桥 柑子村 正规两房 带露台 住家装修 户型方正 采光好","72","8421元/㎡","2室2厅1卫","柑子村-天星桥二手房出售-柑子村1-100号","85㎡"
"欧鹏K城精装大两房套内66平 朝中庭 户型方正 采光好可看房","123","14907元/㎡","2室2厅1卫","鸥鹏K城-北滨路二手房出售-金源路66号","82㎡"
"高铁站附近电梯房 送大露台 精装3室 全新装修","63.8","6316元/㎡","3室2厅2卫","多弘上城-牡丹大道","101㎡"
"单价1.1万抢茶园麓铭府.碧桂园金辉雅居乐联合打造.舒适三房","98","9800元/㎡","3室2厅2卫","麓铭府-界石二手房出售-东城大道","100㎡"
"上城时代精装两房。轻轨3号线，金竹轻轨站出口旁。精装送装修","72","10220元/㎡","2室2厅1卫","渝开发上城时...-鱼洞二手房出售-箭河路11号","70㎡"
"陈家坪核心地段 轻轨站旁 玖城壹号 精装2房 拎包入住","95","15412元/㎡","2室2厅1卫","中国铁建玖城...-二郎二手房出售-石杨路66号","61㎡"
"富力城书香里豪装大平层，视野无敌，错过将永远错过说的就是你哟","140","14432元/㎡","3室2厅2卫","富力城书香里-大学城二手房出售-盛德路943号","97㎡"
"悦来生态城一线看江联排6室3厅1厨多阳台花园露台","450","13888元/㎡","6室3厅5卫","融创碧桂园望...-礼嘉二手房出售-悦融一路1号","324㎡"
"水木香山精装3房，带大露台，小区环境舒适，住家安静，洋房品质","169","16745元/㎡","3室2厅2卫","水木香山-空港新城二手房出售-竹音支路18号","100㎡"
"曦圆柳镇，四房洋房，豪装低跃","175","18817元/㎡","4室2厅2卫","曦圆柳镇一期-花溪二手房出售-红光大道19号","93㎡"
"两江新区悦来 清水小户型公寓 正对悦来会展中心 民宿不二之选","36","10000元/㎡","1室1厅1卫","融创国博城(...-悦来二手房出售-悦城路36号","36㎡"
"沙坪坝万科现房，学区房，精装三室带地暖，出门就逛磁器口！","130","14130元/㎡","3室2厅2卫","万科金色悦城...-凤天路二手房出售-凤中路","92㎡"
"西永石柱安置房 一室一厅 价格低 出行方便 附近","26","7027元/㎡","1室1厅1卫","西永安置房-西永二手房出售-西城大道,近赖白路","37㎡"
"豪装 金科中央公园 2室2厅 拎包入住，装修未住人","48","6666元/㎡","2室2厅1卫","涪陵金科中央...-李渡二手房出售-太乙大道28号","72㎡"
"150万买鹏润蓝海C区精装修三房 高楼层 采光好 户型方正","150","18867元/㎡","3室2厅1卫","鹏润蓝海C区-观音桥二手房出售-兴竹路19号","79㎡"
"澳海精装2室1卫 出门就是公交车站紧邻16中总价49万！","54.5","7569元/㎡","2室2厅1卫","澳海水岸蓝山-其他二手房出售-桥南路777号","72㎡"
"业主急售 南方玫瑰城板块金山美林精装修小两房 带20平花园","74","10784元/㎡","2室2厅1卫","金山美林-回兴二手房出售-翠屏三巷2号","68㎡"
"南坪会展中心，玖玺台豪装大平层，视野广阔正可看江","625","22727元/㎡","5室3厅3卫","玖玺台-南坪二手房出售-亚太路9号","275㎡"
"树人值标，大学城 金科廊桥水乡精装两房近轻轨，小区自带商圈","90","11538元/㎡","2室1厅1卫","金科廊桥水乡...-大学城二手房出售-大学城南二路1000号","78㎡"
"南坪百商圈，临近步行街，精装2房，只卖80万，住家之选","80","14035元/㎡","2室1厅1卫","南坪商业大厦-南坪二手房出售-南坪西路3号","57㎡"
"宝嘉花与山跃层洋房，可装四房，送25平大露台，实得套内140","105","11413元/㎡","4室2厅2卫","宝嘉花与山(...-大学城二手房出售-学智路717号","92㎡"
"江北嘴CBD 寰宇天下二手房 精装三室两厅 看大剧院 科技馆","550","31340元/㎡","3室2厅3卫","寰宇天下观澜...-五里店二手房出售-桂花街,近金沙路","175㎡"
"上海城，降价了，正规两房只卖118万了，读天台岗，家电齐全","118","17611元/㎡","2室2厅1卫","上海城-南坪二手房出售-南坪西路32号","67㎡"
"国家授权康养基地，高新区康养居家之地有湖，公园，生态蔬果园","63","9130元/㎡","2室1厅1卫","中铁任之健康...-三担路","69㎡"
"金科廊桥水乡 精装3房 拎包入住 带学校指标 环境优美84","90","11250元/㎡","3室2厅1卫","金科廊桥水乡...-大学城二手房出售-大学城南二路1000号","80㎡"
"龙湖u城 听蓝时光 正规三房 家电齐全 视野宽阔 领包入住！","86","12112元/㎡","3室1厅1卫","龙湖U城3组...-大学城二手房出售-龙湖U城听蓝时光","71㎡"
"回兴家纺城精装两房，客厅朝南，采光极好双轻轨，满两年，0契税","78.8","13133元/㎡","2室2厅1卫","重庆国际家纺...-回兴二手房出售-服装城大道48号附3号","60㎡"
"福兴诚推第 一书香家装三室学期房新巴中二小 自住投 资都划算","67.8","7018元/㎡","3室2厅2卫","第一书香-塔山东街","96㎡"
"金剑小学对面步行楼4楼3室2厅1卫37.8万","37.8","3978元/㎡","3室2厅1卫","金桂苑-金剑路219号","95㎡"
"南坪会展中心，玖玺台豪装大平层，视野广阔正可看江","625","22727元/㎡","5室3厅3卫","玖玺台-南坪二手房出售-亚太路9号","275㎡"
"金科廊桥水乡标准大三房两卫朝中庭钥匙在手看房方便","115","10550元/㎡","3室2厅2卫","金科廊桥水乡...-大学城二手房出售-大学城南二路1000号","109㎡"
"渝北  空港广场   伯爵世家精装电梯正2房， 交通方便","78","12283元/㎡","2室1厅1卫","金易伯爵世家-两路二手房出售-安康路111号","63㎡"
"联发瞰青 住家精装两房 保养好八成新 带家具家电 居家舒适","130","14623元/㎡","2室2厅1卫","联发瞰青2期-回兴二手房出售-金开大道1668号","88㎡"
"来福士寰宇豪装全配带地暖850万拧包入住","850","34000元/㎡","4室2厅4卫","寰宇天下天悦-北滨路二手房出售-东升门路15号","250㎡"
"约克郡内圈中户别墅 居家安静舒适","580","19528元/㎡","5室4厅5卫","约克郡翠微堤-汽博中心二手房出售-怡和路9号","297㎡"
"汽博商圈旁 叠彩城跃层 轻轨站旁 全新豪装四房 视野好看湖","218","21584元/㎡","4室2厅2卫","叠彩城-汽博中心二手房出售-金渝大道88号","101㎡"
"悦来融创国博城急售联排中户 板式结构地下室采 带指标巴蜀","340","13127元/㎡","5室3厅5卫","融创国博城-悦来二手房出售-悦城路36号","259㎡"
"弹子石CBD自贸区住家精装三房配套成熟出行方便诚心卖","145","18125元/㎡","3室1厅1卫","蓝光COCO...-弹子石二手房出售-腾龙大道38号","80㎡"
"江北观音桥平安摩卡城市 精装正规两房两厅 户型方正采光足","145","16917元/㎡","2室2厅2卫","平安摩卡城市-观音桥二手房出售-建新东路36号","85㎡"
"江北嘴 北滨一路 鎏嘉码头酒店式看江公寓出售","120","16558元/㎡","2室1厅1卫","珠江太阳城D...-北滨路二手房出售-北城路76号","72㎡"
"新法院对面 家装大三房95成新 带家电江城丽景","59.8","5980元/㎡","3室2厅2卫","江城丽景-牌坊路419号","100㎡"
"谢家湾轻轨站育才中学旁，首创立方小区，住家两房，诚心出售","108","15000元/㎡","2室2厅1卫","首创立方-谢家湾二手房出售-龙腾大道79号","72㎡"
"向阳街附近，住家装修2楼，***27.6万","28","3835元/㎡","3室2厅1卫","和平小区-沙坪坝周边二手房出售-向阳街259号","73㎡"
"香樟郡一室一厅一卫精装","40","6666元/㎡","1室1厅1卫","香樟郡-龙城大道219号","60㎡"
"美梦成真公寓 轻轨站旁边的公寓 带租约 回 报率高 搞作","58","13809元/㎡","1室1厅1卫","天景美梦城真-学府大道二手房出售-学府大道69号","42㎡"
"水天花园洋房 挑高大错层 端户带花园 采光很好 业主安心卖","130","6863元/㎡","5室2厅3卫","水天花园-童家溪二手房出售-同兴北路123号","189㎡"
"国盛园墅中间跃层,配套设施齐全 实用面积大 环境优雅适合居住","130","15294元/㎡","3室2厅2卫","国盛园墅-大学城二手房出售-西尊路188号","85㎡"
"南坪万达商圈旁，天信双骄，精装大三房，户型正气，视野好，","155","11923元/㎡","3室2厅2卫","天信双骄-南坪二手房出售-南湖路7号","130㎡"
"本周新推 渝北汽博金山名都轻轨旁大两房 精装 满两年随时看房","140","17073元/㎡","2室2厅1卫","龙脊金山名都-汽博中心二手房出售-金渝大道83号","82㎡"
"南坪业主诚心出售一线江景房品质小区交通便利拎包入住","218","16029元/㎡","3室2厅1卫","骏逸第一江岸-经开区二手房出售-丹龙路16号","136㎡"
"融创嘉德庄园叠加别墅 花园60平 朝中庭 安静 带车位 急售","300","17142元/㎡","4室3厅4卫","融创嘉德庄园-空港新城二手房出售-福畅路28号","175㎡"
"江北金科太阳海岸临崖端头 内圈 花园200平视野开阔随时看房","398","10075元/㎡","6室3厅5卫","金科太阳海岸-五里店二手房出售-海尔路988号","395㎡"
"鸳鸯 复地城就 跃层 住家精装修 视野好 看高尔夫球场","335","17457元/㎡","4室2厅2卫","复地新城就-农业园区二手房出售-金渝大道81号","191㎡"
"棕榈泉揽江大平层无房产税视线无 敌现房，现房","255","16451元/㎡","3室2厅2卫","棕榈泉悦江国...-悦来二手房出售-国博大道,近悦来滨江路","155㎡"
"出门就是公交永辉,十双轻轨还在犹豫什么","52","13000元/㎡","1室1厅1卫","东衡爱地社区-回兴二手房出售-龙石路25号","40㎡"
"富人区精装婚房来袭，61.8万全套家具免费送","61.8","7822元/㎡","3室2厅1卫","明悦天街-温泉路","79㎡"
"南山绿庭 110平花园洋房 送50平地下室大花园大露台","80","7272元/㎡","3室2厅2卫","南山绿庭-其他二手房出售-凤凰路169号","110㎡"
"天润城 龙凤溪轻轨站附近精装三房提包入住状元小学指标","92","11748元/㎡","3室2厅1卫","光亮天润城-歇马二手房出售-云康路","78㎡"
"江北自贸区绿地保税5.1米loft公寓一层享两","50","11363元/㎡","2室1厅2卫","绿地保税中心-寸滩二手房出售-金渝大道138号","44㎡"
"急售 回兴 爱琴屿 精装正两房 户型方正  双轻轨","86","13230元/㎡","2室2厅1卫","乐信爱琴屿-双凤桥二手房出售-康兴路2号","65㎡"
"江北嘴寰宇天下观澜园江景房看两江精装修","1100","50463元/㎡","4室2厅3卫","寰宇天下观澜...-五里店二手房出售-桂花街,近金沙路","217㎡"
"两江新区 照母山 东原星樾 精装小两房家电齐全 只要110万","110","18965元/㎡","2室2厅1卫","东原星樾-礼嘉二手房出售-星光大道201号","58㎡"
"南坪上海城二期 豪装3房 只卖210万 低于市场价","210","17213元/㎡","3室2厅2卫","上海城-南坪二手房出售-南坪西路32号","122㎡"
"业主诚心出售 南滨路 海棠溪 聚丰江山里 正规精装2房 靠山","65","14772元/㎡","2室1厅1卫","聚丰江山里-长生桥二手房出售-海棠新街1号","44㎡"
"两江新区  建工未来城 联排别墅3车位只要215万 限售两天","215","13782元/㎡","5室4厅4卫","建工未来城(...-回兴二手房出售-金开大道1666号","156㎡"
"卓然翡翠城观江豪装三房诚意出售","69","8414元/㎡","3室2厅1卫","卓然翡翠城-思源大道","82㎡"
"南山高山流水 联排别墅 3加1结构 双车位 总价320万","320","9815元/㎡","5室3厅4卫","高山流水二期-南山二手房出售-东西大道","326㎡"
"龙头寺商圈中心 轻轨旁跃层小户型 5轻轨环绕 支持按揭","56","18666元/㎡","2室1厅1卫","力帆时代-龙头寺二手房出售-新溉大道,近东湖南路","30㎡"
"江北现房挑高5.1米，保税区政府扶持减免企业税收，货量告急","55","12500元/㎡","1室1厅1卫","绿地保税中心-寸滩二手房出售-金渝大道138号","44㎡"
"福兴诚推壹号公馆电梯豪装温馨四室 品质小区 冬暖夏凉配套齐全","96","8888元/㎡","4室2厅2卫","鸥鹏壹号公馆-龙城大道398号","108㎡"
"出门就是公交永辉,十双轻轨还在犹豫什么","52","13000元/㎡","1室1厅1卫","东衡爱地社区-回兴二手房出售-龙石路25号","40㎡"
"富人区精装婚房来袭，61.8万全套家具免费送","61.8","7822元/㎡","3室2厅1卫","明悦天街-温泉路","79㎡"
"南山绿庭 110平花园洋房 送50平地下室大花园大露台","80","7272元/㎡","3室2厅2卫","南山绿庭-其他二手房出售-凤凰路169号","110㎡"
"天润城 龙凤溪轻轨站附近精装三房提包入住状元小学指标","92","11748元/㎡","3室2厅1卫","光亮天润城-歇马二手房出售-云康路","78㎡"
"海成长江之星精装LOFT公寓，买一层送一层，三室两厅三卫","83.8","12696元/㎡","3室2厅3卫","海成长江之星...-其他二手房出售-梨花路","66㎡"
"长江之星LOFT公寓精装三室，设计新颖，适合年轻人居住","84","12727元/㎡","3室2厅2卫","海成长江之星...-其他二手房出售-梨花路","66㎡"
"金科秀湖公园出行方便南北通透户型方正安逸得很快点下手","98","8376元/㎡","3室2厅2卫","璧山金科中央...-泉山路,近黛山大道","117㎡"
"香堤花径精装修正规2房，家具家电齐全，拎包入住，次新小区","99","14776元/㎡","2室2厅1卫","东朝香堤花径-农业园区二手房出售-金果支路6号","67㎡"
"朝中庭中间楼层 美丽泽京精致户型 无浪费超.级独特哦","57.6","8228元/㎡","3室2厅1卫","美丽泽京-金龙大道","70㎡"
"业主诚心出售， 新桥街道70万70平 精装新怡家园南北，","70","10000元/㎡","2室1厅1卫","新怡康居-新桥二手房出售-新桥正街,近石新路","70㎡"
"渝北新牌坊童心小学附近品质大盘锦上华庭观园精装两室业主急售","140","18421元/㎡","2室2厅2卫","锦上华庭观苑-龙头寺二手房出售-泰山大道西段6号","76㎡"
"渝北龙头寺公园置尚精装三房次新小区 环境好","125","20833元/㎡","2室2厅1卫","公园置尚-龙头寺二手房出售-景园大道8号","60㎡"
"渝北鸳鸳旁 品质楼盘大雅云居山精装两房   住家安静","115","18459元/㎡","2室2厅1卫","大雅云居山-鸳鸯二手房出售-龙展路59号","62㎡"
"南坪品质小区溯源阁精装两房户型方正可改三房交通便利拎包入住","126","13263元/㎡","2室2厅1卫","溯源阁-经开区二手房出售-青龙路103号","95㎡"
"国兴北岸江山精装大两房 套内68平 高楼层 124万高性价比","124","14588元/㎡","2室2厅1卫","国兴北岸江山...-北滨路二手房出售-北兴路18号","85㎡"
"南坪 福利社旁 东海金香庭 正规三房出售 住家装修 拎包入住","160","13333元/㎡","3室2厅2卫","东海金香庭-南坪二手房出售-南坪东路546号","120㎡"
"南滨路看江精装豪宅，一线全江景，无边际空中游泳池，等你来撩~","500","23809元/㎡","4室3厅3卫","洋世达南滨特...-南滨路二手房出售-南滨路31号","210㎡"
"渝北新牌坊渝北九建广电华府小三房业主诚心出售,住家安静舒适","134.8","14525元/㎡","3室2厅1卫","广电华府-双凤桥二手房出售-天龙支路28号","92㎡"
"南岸弹子石CBD 精装水电气三通小户型 现房出售 买到就是赚","65","14772元/㎡","1室1厅1卫","国际社区观邸...-弹子石二手房出售-腾龙大道21号","44㎡"
"新牌坊 邮政绿苑 精装三房 楼下超市 农贸市场","168","15203元/㎡","3室2厅2卫","邮政绿苑-新溉路二手房出售-红叶路6号","110㎡"
"渝北新牌坊锦绣山庄旁 广电华府清水三房 首付48万 诚心出售","134.8","15152元/㎡","3室2厅1卫","广电华府-双凤桥二手房出售-天龙支路28号","88㎡"
"加州轻轨旁 君悦世纪精装温馨小两室 家电家具齐全 随时看房","84.8","15559元/㎡","2室1厅1卫","君悦世纪-加洲新牌坊二手房出售-红锦大道518号","54㎡"
"人民公园旁 世纪阳光 精装大三房 位置当道户型方正 家电齐全","55.8","4359元/㎡","3室2厅2卫","铜梁世纪阳光...-塔山东街489号","128㎡"
"人和医院旁 金利大厦精装2房 视野开阔 交通方便 户型方正","105","13461元/㎡","2室2厅1卫","金利大厦-人和二手房出售-人兴支路23号","78㎡"
"3号线二塘站 交通大学旁精装小户 水电气三通仅需20多万","25","7812元/㎡","1室1厅1卫","知园小区-学府大道二手房出售-学府大道","32㎡"
"三室两厅绿岛新区好房子业主缺钱急售家具家电齐全拎包入住","30","3529元/㎡","3室2厅2卫","天德康都-璧青北路581号","85㎡"
"保利樱花岛临湖独栋 背山面水 带600平临湖花园 有钥匙看房","1350","29347元/㎡","5室3厅5卫","保利国际高尔...-鸳鸯二手房出售-留云路1号","460㎡"
"鱼洞金竹轻轨站旁 精装两室 户型宽敞明亮 出门轻轨","62","11923元/㎡","2室1厅1卫","渝开发上城时...-鱼洞二手房出售-箭河路11号","52㎡"
"首付20多万支持三 盘龙商圈育才指标5.1米跃层 水电气三通","42","11666元/㎡","2室2厅2卫","中粮鸿云-石坪桥二手房出售-盘龙正街","36㎡"
"花园小区，环境优美，精装三房，拎包入住","82","8817元/㎡","3室2厅1卫","碧桂园翡翠城-沙坪坝周边二手房出售-永嘉大道115号","93㎡"
"业主诚心出售 南滨路 海棠溪 聚丰江山里 正规精装2房 靠山","65","14772元/㎡","2室1厅1卫","聚丰江山里-长生桥二手房出售-海棠新街1号","44㎡"
"二塘轻轨站旁美梦成真精装公寓，低投入高，总价58万起","58","18125元/㎡","1室1厅1卫","天景美梦城真-学府大道二手房出售-学府大道69号","32㎡"
"南坪 亚洲十大豪宅豪装 管家服务 融创玖玺台 诚心出售","560","21960元/㎡","4室2厅4卫","玖玺台-南坪二手房出售-亚太路9号","255㎡"
"急售，轻轨凤西站旁，月光宝盒，精装两房拎包入住，紧邻地铁环线","83","13766元/㎡","2室2厅1卫","恒高月光宝盒-二郎二手房出售-朝阳路102号","60㎡"
"北大资源博雅 豪装公寓 单价17500 12年真实租约","96.8","18264元/㎡","1室1厅1卫","北大资源博雅...-人和二手房出售-金州大道106号","53㎡"
"天安CBD联排别墅***后两套证上153实际使用350","195","12187元/㎡","5室3厅3卫","璧山CBD-沙坪坝周边二手房出售-双星大道52号","160㎡"
"豪园5星.级的品质小区业主豪华装修大3房给你豪华的住家","65","6632元/㎡","3室2厅2卫","碧桂园豪园-凤城二手房出售-碧园路669号","98㎡"
"佳兴诚推尚品国际正宗两房精装修户型方正拎包入住随时看房","53.8","8276元/㎡","2室2厅1卫","尚品国际-东莘路99号","65㎡"
"强力推荐 美丽泽京爱尚里  精装三室  配套成熟 不要错过","87.8","9051元/㎡","3室2厅2卫","美丽泽京爱尚...-金龙大道","97㎡"
"铜梁外国语小学旁 罗曼山电梯精装三室 采光好 户型正环境优雅","66","7333元/㎡","3室2厅1卫","罗曼山-平安路60号","90㎡"
"。沙滨路华宇金沙港湾 精装三房 楼层适中 采光好适合多口之家","185","13405元/㎡","3室2厅2卫","华宇金沙港湾...-土湾二手房出售-华宇金沙港湾8号","138㎡"
"。雾都大厦 精装大三房 带实验指标 商圈地段 出入方便。","165","11301元/㎡","3室2厅2卫","雾都大厦-沙滨路二手房出售-小龙坎正街139号","146㎡"
"坝子 坝子 超大坝子 只有你想不到 先到先得 机会难得唯一","55","8208元/㎡","2室2厅1卫","尚品国际-东莘路99号","67㎡"
"亲水湾精装三房    全景阳台中间楼层 赠家具电  拎包入住","72.6","7484元/㎡","3室2厅1卫","亲水湾-白龙大道149号","97㎡"
"复地新城就 住家精装3房2卫 家电家具齐全","170","17525元/㎡","2室2厅1卫","复地新城就-农业园区二手房出售-金渝大道81号","97㎡"
"杨家坪商圈旁 华润二十四城小区 精装1室 配套齐全 近轻轨","70","15909元/㎡","1室1厅1卫","华润二十四城...-谢家湾二手房出售-谢家湾正街47号","44㎡"
"城南世家 精装三房 业主急售","98","14927元/㎡","3室1厅1卫","城南世家-南坪二手房出售-辅仁路19号","65㎡"
"双碑宏城名都 清水2室2厅出售","75","10000元/㎡","2室2厅1卫","宏城名都B区-双碑二手房出售-嘉勤路","75㎡"
"南坪业主诚心出售骏逸天下正规两房户型方正出行便利拎包入住","118","13563元/㎡","2室1厅1卫","骏逸天下-南坪二手房出售-丹龙路26号","87㎡"
"蔡家中庚城急售毛坯房 中层 超中庭 交通便利 看房方便","92","11299元/㎡","2室2厅1卫","中庚城F组团-蔡家岗二手房出售-云屏路11号","81㎡"
"高端豪华大小区，近领山坎砍下，看清山绿水，是住家的好地方！","62.8","7388元/㎡","3室2厅1卫","垫江碧桂园-天堂路93号","85㎡"
"哇塞塞打起灯笼找到的好房子锦天水岸朝人民公园大气洋房安逸惨了","80","6153元/㎡","4室2厅2卫","锦天水岸-其他二手房出售-金龙大道21号","130㎡"
"刚出精装两房带书房  两面采光 业主安心卖","72.5","18034元/㎡","2室2厅1卫","同景国际城W...-茶园新区二手房出售-丁香路1号","40㎡"
"南岸 弹子石 清水三房无浪费面积 蓝光coco时代","149","18625元/㎡","3室2厅1卫","蓝光COCO...-弹子石二手房出售-腾龙大道38号","80㎡"
"南坪品质小区罗马假日清水两房户型方正可改三房交通便利拎包入住","114","12914元/㎡","2室2厅2卫","金阳罗马假日-经开区二手房出售-青龙路36号","88㎡"
